#: table_doi: 10.17182/hepdata.60522.v1/t2
#: name: Table 2
#: description: The differential PT cross section as a function of PT.

#: data_file: Table2.yaml
#: keyword reactions: PBAR P --> E+ E- X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Electron production
#: keyword cmenergies: 1960.0
#: M(C=E+E-) [GeV],,,66.0-116.0
#: RE,,,PBAR P --> E+ E- X
#: SQRT(S) [GeV],,,1960.0
PT(C=E+E-) [GEV],PT(C=E+E-) [GEV] LOW,PT(C=E+E-) [GEV] HIGH,D(SIG)/DPT [PB/GEV],stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
0.25,0.0,0.5,3.613,0.168,-0.168,0.035,-0.035,5.8%,-5.8%
0.75,0.5,1.0,10.08,0.27,-0.27,0.1,-0.1,5.8%,-5.8%
1.25,1.0,1.5,15.51,0.33,-0.33,0.15,-0.15,5.8%,-5.8%
1.75,1.5,2.0,19.47,0.37,-0.37,0.19,-0.19,5.8%,-5.8%
2.25,2.0,2.5,21.58,0.39,-0.39,0.21,-0.21,5.8%,-5.8%
2.75,2.5,3.0,22.95,0.4,-0.4,0.23,-0.23,5.8%,-5.8%
3.25,3.0,3.5,22.58,0.39,-0.39,0.22,-0.22,5.8%,-5.8%
3.75,3.5,4.0,22.35,0.39,-0.39,0.22,-0.22,5.8%,-5.8%
4.25,4.0,4.5,20.61,0.37,-0.37,0.21,-0.21,5.8%,-5.8%
4.75,4.5,5.0,19.87,0.36,-0.36,0.2,-0.2,5.8%,-5.8%
5.25,5.0,5.5,18.76,0.35,-0.35,0.19,-0.19,5.8%,-5.8%
5.75,5.5,6.0,17.29,0.34,-0.34,0.17,-0.17,5.8%,-5.8%
6.25,6.0,6.5,15.63,0.32,-0.32,0.16,-0.16,5.8%,-5.8%
6.75,6.5,7.0,14.68,0.31,-0.31,0.15,-0.15,5.8%,-5.8%
7.25,7.0,7.5,13.74,0.3,-0.3,0.14,-0.14,5.8%,-5.8%
