#: table_doi: 10.17182/hepdata.42501.v1/t5
#: name: Table 5
#: description: No description provided.
#: data_file: Table5.yaml
#: keyword reactions: P DEUT --> MU+ MU- X
#: keyword observables: E*D3SIG/DP**3
#: keyword phrases: Inclusive | Invariant Cross Section | Di-Muon Production | Muon production
#: M [GeV],5.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,6.75,0.305,-0.305
0.375,5.59,0.156,-0.156
0.625,4.84,0.122,-0.122
0.875,3.5,0.0903,-0.0903
1.125,2.56,0.0768,-0.0768
1.375,1.78,0.0672,-0.0672
1.625,1.12,0.0535,-0.0535
1.875,0.817,0.0627,-0.0627
2.125,0.259,0.0298,-0.0298
2.375,0.346,0.0575,-0.0575
2.625,0.147,0.0345,-0.0345
2.875,0.0457,0.0154,-0.0154
3.125,-,0,0
3.375,-,0,0
3.625,-,0,0
3.875,-,0,0

#: M [GeV],6.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,2.87,0.153,-0.153
0.375,2.28,0.0765,-0.0765
0.625,2.08,0.0625,-0.0625
0.875,1.35,0.0413,-0.0413
1.125,1.05,0.0356,-0.0356
1.375,0.669,0.0275,-0.0275
1.625,0.397,0.0203,-0.0203
1.875,0.262,0.0172,-0.0172
2.125,0.213,0.0202,-0.0202
2.375,0.117,0.015,-0.015
2.625,0.0979,0.0215,-0.0215
2.875,0.0376,0.00908,-0.00908
3.125,0.0229,0.00789,-0.00789
3.375,0.0345,0.0425,-0.0425
3.625,0.0106,0.00886,-0.00886
3.875,0.000501,0.000432,-0.000432

#: M [GeV],7.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,1.68,0.12,-0.12
0.375,1.16,0.051,-0.051
0.625,0.97,0.0362,-0.0362
0.875,0.73,0.0278,-0.0278
1.125,0.534,0.0224,-0.0224
1.375,0.357,0.0177,-0.0177
1.625,0.222,0.014,-0.014
1.875,0.13,0.00997,-0.00997
2.125,0.0839,0.00893,-0.00893
2.375,0.0494,0.00709,-0.00709
2.625,0.034,0.00679,-0.00679
2.875,0.0295,0.0095,-0.0095
3.125,0.00844,0.00317,-0.00317
3.375,0.00573,0.00376,-0.00376
3.625,-,0,0
3.875,-,0,0

#: M [GeV],8.5
#: RE,P DEUT --> MU+ MU- X
#: XL,0.1 TO 0.3
PT [GEV],E*D3(SIG)/DP**3 [NB/GEV**2/NUCLEON],error +,error -
0.125,0.755,0.0752,-0.0752
0.375,0.639,0.0367,-0.0367
0.625,0.453,0.0229,-0.0229
0.875,0.387,0.0192,-0.0192
1.125,0.239,0.0131,-0.0131
1.375,0.172,0.0105,-0.0105
1.625,0.12,0.00867,-0.00867
1.875,0.0743,0.00701,-0.00701
2.125,0.0434,0.00555,-0.00555
2.375,0.0199,0.00343,-0.00343
2.625,0.0102,0.00249,-0.00249
2.875,0.007,0.00249,-0.00249
3.125,0.00323,0.00248,-0.00248
3.375,0.00666,0.00597,-0.00597
3.625,-,0,0
3.875,-,0,0

