#: table_doi: 10.17182/hepdata.19888.v1/t1
#: name: Table 1
#: description: Errors are systematic and statistical combined, and are correlated bin to bin due to the correction for resolution smearing.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> Z0 X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Z Production
#: keyword cmenergies: 1799.959
#: RE,,,PBAR P --> Z0 X
#: SQRT(S) [GeV],,,1799.959
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/D(PT) [PB PER GEV],error +,error -
1.0,0.0,2.0,391.0,139.0,-139.0
2.8,2.0,4.0,734.0,214.0,-214.0
5.6,4.0,7.0,251.0,144.0,-144.0
8.4,7.0,10.0,427.0,110.0,-110.0
12.0,10.0,14.0,149.0,55.0,-55.0
16.0,14.0,18.0,104.0,38.0,-38.0
20.3,18.0,23.0,61.5,23.5,-23.5
25.3,23.0,28.0,44.6,20.4,-20.4
30.4,28.0,33.0,38.7,17.6,-17.6
38.4,33.0,45.0,21.5,7.0,-7.0
54.0,45.0,65.0,4.7,2.5,-2.5
76.3,65.0,90.0,2.8,1.6,-1.6
126.0,90.0,180.0,0.3,0.2,-0.2

