#: table_doi: 10.17182/hepdata.42070.v1/t1
#: name: Table 1
#: description: The measured transverse momentum distribution of e+e- pairs in the Z0 bosonregion. PT is the centre of the bins.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> E+ E- X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Electron production
#: keyword cmenergies: 1800.0
#: ABS(ETARAP),,,< 4.2
#: M(P=3_4) [GEV],,,66 TO 116
#: RE,,,PBAR P --> E+ E- X
#: SQRT(S) [GeV],,,1800.0,,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/DPT [PB/GEV],error +,error -,"sys,Additional uncertainty due to the luminosity error +","sys,Additional uncertainty due to the luminosity error -"
0.25,0.0,0.5,3.35,0.54,-0.54,3.9%,-3.9%
0.75,0.5,1.0,10.1,1.0,-1.0,3.9%,-3.9%
1.25,1.0,1.5,14.8,1.2,-1.2,3.9%,-3.9%
1.75,1.5,2.0,19.4,1.4,-1.4,3.9%,-3.9%
2.25,2.0,2.5,20.2,1.4,-1.4,3.9%,-3.9%
2.75,2.5,3.0,23.6,1.5,-1.5,3.9%,-3.9%
3.25,3.0,3.5,23.6,1.4,-1.4,3.9%,-3.9%
3.75,3.5,4.0,23.0,1.4,-1.4,3.9%,-3.9%
4.25,4.0,4.5,19.9,1.3,-1.3,3.9%,-3.9%
4.75,4.5,5.0,19.3,1.2,-1.2,3.9%,-3.9%
5.25,5.0,5.5,17.9,1.2,-1.2,3.9%,-3.9%
5.75,5.5,6.0,18.0,1.2,-1.2,3.9%,-3.9%
6.25,6.0,6.5,14.6,1.0,-1.0,3.9%,-3.9%
6.75,6.5,7.0,14.5,1.0,-1.0,3.9%,-3.9%
7.25,7.0,7.5,13.5,1.0,-1.0,3.9%,-3.9%
7.75,7.5,8.0,13.7,1.0,-1.0,3.9%,-3.9%
8.25,8.0,8.5,11.9,0.9,-0.9,3.9%,-3.9%
8.75,8.5,9.0,10.4,0.9,-0.9,3.9%,-3.9%
9.25,9.0,9.5,11.1,0.9,-0.9,3.9%,-3.9%
9.75,9.5,10.0,9.56,0.82,-0.82,3.9%,-3.9%
10.25,10.0,10.5,8.35,0.76,-0.76,3.9%,-3.9%
10.75,10.5,11.0,7.82,0.74,-0.74,3.9%,-3.9%
11.25,11.0,11.5,8.18,0.76,-0.76,3.9%,-3.9%
11.75,11.5,12.0,7.48,0.72,-0.72,3.9%,-3.9%
12.5,12.0,13.0,7.21,0.53,-0.53,3.9%,-3.9%
13.5,13.0,14.0,6.05,0.47,-0.47,3.9%,-3.9%
14.5,14.0,15.0,4.73,0.41,-0.41,3.9%,-3.9%
15.5,15.0,16.0,5.21,0.44,-0.44,3.9%,-3.9%
16.5,16.0,17.0,4.46,0.4,-0.4,3.9%,-3.9%
17.5,17.0,18.0,4.28,0.39,-0.39,3.9%,-3.9%
18.5,18.0,19.0,3.51,0.35,-0.35,3.9%,-3.9%
19.5,19.0,20.0,3.01,0.33,-0.33,3.9%,-3.9%
21.0,20.0,22.0,2.63,0.22,-0.22,3.9%,-3.9%
23.0,22.0,24.0,1.82,0.18,-0.18,3.9%,-3.9%
25.0,24.0,26.0,1.85,0.18,-0.18,3.9%,-3.9%
27.0,26.0,28.0,1.58,0.17,-0.17,3.9%,-3.9%
29.0,28.0,30.0,1.41,0.16,-0.16,3.9%,-3.9%
32.0,30.0,34.0,1.02,0.1,-0.1,3.9%,-3.9%
36.0,34.0,38.0,0.678,0.079,-0.079,3.9%,-3.9%
40.0,38.0,42.0,0.644,0.076,-0.076,3.9%,-3.9%
44.0,42.0,46.0,0.434,0.062,-0.062,3.9%,-3.9%
48.0,46.0,50.0,0.394,0.059,-0.059,3.9%,-3.9%
55.0,50.0,60.0,0.21,0.027,-0.027,3.9%,-3.9%
65.0,60.0,70.0,0.107,0.019,-0.019,3.9%,-3.9%
75.0,70.0,80.0,0.091,0.0175,-0.0175,3.9%,-3.9%
85.0,80.0,90.0,0.045,0.0122,-0.0122,3.9%,-3.9%
95.0,90.0,100.0,0.0351,0.0107,-0.0107,3.9%,-3.9%
112.5,100.0,125.0,0.0181,0.0048,-0.0048,3.9%,-3.9%
137.5,125.0,150.0,0.00711,0.00297,-0.00297,3.9%,-3.9%
175.0,150.0,200.0,0.000974,0.000756,-0.000756,3.9%,-3.9%

