#: table_doi: 10.17182/hepdata.42104.v1/t1
#: name: Table 1
#: description: Differential cross section in the electron channel. The errors contain both statistical and systematic error excluding the overall normalization error.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> Z0 X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Single Differential Cross Section | Transverse Momentum Dependence | Z Production | Electron production
#: keyword cmenergies: 1800.0
#: RE,,,PBAR P --> Z0 < E+ E- > X
#: SQRT(S) [GeV],,,1800.0,,,,
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/DPT [NB/GEV],error +,error -,"sys,Overall normalization uncertainty +","sys,Overall normalization uncertainty -"
0.5,0.0,1.0,6.04,0.53,-0.53,4.4%,-4.4%
1.5,1.0,2.0,16.2,0.96,-0.96,4.4%,-4.4%
2.5,2.0,3.0,20.4,1.1,-1.1,4.4%,-4.4%
3.5,3.0,4.0,19.7,1.1,-1.1,4.4%,-4.4%
4.5,4.0,5.0,16.2,0.92,-0.92,4.4%,-4.4%
5.5,5.0,6.0,15.0,0.87,-0.87,4.4%,-4.4%
6.5,6.0,7.0,14.1,0.84,-0.84,4.4%,-4.4%
7.5,7.0,8.0,11.1,0.73,-0.73,4.4%,-4.4%
8.5,8.0,9.0,10.0,0.69,-0.69,4.4%,-4.4%
9.5,9.0,10.0,9.29,0.67,-0.67,4.4%,-4.4%
11.0,10.0,12.0,7.25,0.54,-0.54,4.4%,-4.4%
13.0,12.0,14.0,5.45,0.44,-0.44,4.4%,-4.4%
15.0,14.0,16.0,4.45,0.39,-0.39,4.4%,-4.4%
17.0,16.0,18.0,3.54,0.33,-0.33,4.4%,-4.4%
19.0,18.0,20.0,3.21,0.31,-0.31,4.4%,-4.4%
22.5,20.0,25.0,2.06,0.18,-0.18,4.4%,-4.4%
27.5,25.0,30.0,1.29,0.13,-0.13,4.4%,-4.4%
32.5,30.0,35.0,0.962,0.11,-0.11,4.4%,-4.4%
37.5,35.0,40.0,0.84,0.1,-0.1,4.4%,-4.4%
45.0,40.0,50.0,0.373,0.045,-0.045,4.4%,-4.4%
55.0,50.0,60.0,0.251,0.036,-0.036,4.4%,-4.4%
65.0,60.0,70.0,0.163,0.027,-0.027,4.4%,-4.4%
77.5,70.0,85.0,0.053,0.012,-0.012,4.4%,-4.4%
92.5,85.0,100.0,0.034,0.009,-0.009,4.4%,-4.4%
150.0,100.0,200.0,0.005,0.0013,-0.0013,4.4%,-4.4%
250.0,200.0,300.0,0.0004,0.0004,-0.0003,4.4%,-4.4%

