#: table_doi: 10.17182/hepdata.22831.v1/t18
#: name: Table 18
#: description: No description provided.
#: data_file: Table18.yaml
#: keyword reactions: P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
#: keyword observables: E*D3SIG/DP**3
#: keyword phrases: Inclusive | Invariant Cross Section | Di-Muon Production | Muon production
#: keyword cmenergies: 38.8
#: M(P=3 4) [GEV],8 TO 9
#: RE,P CU --> MU+ MU- X
#: SQRT(S) [GeV],38.8
#: XL,-0.1
PT [GEV],E*D3(SIG)/D(P**3) [PB/GEV**2/NUCLEON],error +,error -,"sys,Normalisation error +","sys,Normalisation error -","sys,Point-to-point systematic error +","sys,Point-to-point systematic error -"
0.1,0.333,0.0246,-0.0246,15.0%,-15.0%,5.0%,-5.0%
0.3,0.439,0.0201,-0.0201,15.0%,-15.0%,5.0%,-5.0%
0.5,0.368,0.0139,-0.0139,15.0%,-15.0%,5.0%,-5.0%
0.7,0.37,0.0136,-0.0136,15.0%,-15.0%,5.0%,-5.0%
0.9,0.259,0.00988,-0.00988,15.0%,-15.0%,5.0%,-5.0%
1.1,0.224,0.00933,-0.00933,15.0%,-15.0%,5.0%,-5.0%
1.3,0.18,0.00895,-0.00895,15.0%,-15.0%,5.0%,-5.0%
1.5,0.131,0.00802,-0.00802,15.0%,-15.0%,5.0%,-5.0%
1.7,0.0875,0.00678,-0.00678,15.0%,-15.0%,5.0%,-5.0%
1.9,0.0713,0.00703,-0.00703,15.0%,-15.0%,5.0%,-5.0%
2.1,0.0482,0.00633,-0.00633,15.0%,-15.0%,5.0%,-5.0%
2.3,0.0272,0.00542,-0.00542,15.0%,-15.0%,5.0%,-5.0%
2.5,0.0217,0.00515,-0.00515,15.0%,-15.0%,5.0%,-5.0%
2.7,0.0184,0.00571,-0.00571,15.0%,-15.0%,5.0%,-5.0%

